,DOI,Publisher
412,10.47276,Lepra
413,10.2113,GeoScienceWorld
414,10.46725,Ivanovo State University
415,10.46724,Ivanovo State University
416,10.46726,Ivanovo State University
417,10.18083,Ivanovo State University
418,10.21064,Ivanovo State University
419,10.54347,Ivanovo State University
420,10.54348,Ivanovo State University
421,10.54279,Maejo University
422,10.4031,Marine Technology Society
423,10.1307,Michigan Mathematical Journal
424,10.15698,Shared Science Publishers OG
425,10.5711,Military Operations Research Society
426,10.15567,Croatian Dairy Union
427,10.1257,American Economic Association
428,10.26562,AM Publications
429,10.2176,Japan Neurosurgical Society
430,10.14245,The Korean Spinal Neurosurgery Society
431,10.1056,Massachusetts Medical Society
432,10.17410,Bologna University Press
433,10.30682,Bologna University Press
434,10.33494,Scion
435,10.5516,Korean Nuclear Society
436,10.20960,ARAN Ediciones
437,10.31059,Crimean Astrophysical Observatory
438,10.5670,The Oceanography Society
439,10.2341,Operative Dentistry
440,10.51812,BirdLife Finland
441,10.2305,IUCN
442,10.2140,Mathematical Sciences Publishers
443,10.58474,"Institute of Professional Psychology, Bahria University Karachi Campus, Pakistan"
444,10.58800,"Institute of Professional Psychology, Bahria University Karachi Campus, Pakistan"
445,10.26879,Coquina Press
446,10.15554,Precast/Prestressed Concrete Institute
447,10.7287,PeerJ
448,10.7717,PeerJ
449,10.3367,Uspekhi Fizicheskikh Nauk (UFN) Journal
450,10.11646,Magnolia Press
451,10.12976,Magnolia Press
452,10.14314,LUKASIEWICZ Research Network - Industrial Chemistry Research Institute
453,10.2485,Society for Hard Tissue Regenerative Biology
454,10.23855,Czech Botanical Society
455,10.19195,Wydawnictwo Uniwersytetu Wroclawskiego
456,10.2183,Japan Academy
457,10.1519,Ovid Technologies (Wolters Kluwer Health)
458,10.14309,Ovid Technologies (Wolters Kluwer Health)
459,10.1212,Ovid Technologies (Wolters Kluwer Health)
460,10.11124,Ovid Technologies (Wolters Kluwer Health)
461,10.1288,Ovid Technologies (Wolters Kluwer Health)
462,10.1203,Ovid Technologies (Wolters Kluwer Health)
463,10.2215,Ovid Technologies (Wolters Kluwer Health)
464,10.34067,Ovid Technologies (Wolters Kluwer Health)
465,10.1213,Ovid Technologies (Wolters Kluwer Health)
466,10.5435,Ovid Technologies (Wolters Kluwer Health)
467,10.1227,Ovid Technologies (Wolters Kluwer Health)
468,10.1249,Ovid Technologies (Wolters Kluwer Health)
469,10.2459,Ovid Technologies (Wolters Kluwer Health)
470,10.2106,Ovid Technologies (Wolters Kluwer Health)
471,10.1161,Ovid Technologies (Wolters Kluwer Health)
472,10.1681,Ovid Technologies (Wolters Kluwer Health)
473,10.1097,Ovid Technologies (Wolters Kluwer Health)
474,10.3760,Ovid Technologies (Wolters Kluwer Health)
475,10.46986,Ovid Technologies (Wolters Kluwer Health)
476,10.12740,Komitet Redakcyjno - Wydawniczy Polskiego Towarzystwa Psychiatrycznego
477,10.14302,Open Access Pub
478,10.1068,Pion Ltd
479,10.26421,Rinton Press
480,10.56305,"Department of Medicine, Warren Alpert Medical School at Brown University"
481,10.1269,Japan Radiation Research Society
482,10.25135,ACG Publications
483,10.3853,Australian Museum
484,10.20467,Springer Publishing Company
485,10.1891,Springer Publishing Company
486,10.4187,Daedalus Enterprises
487,10.33044,Union Matematica Argentina
488,10.32811,Revista de Saude Publica do Parana
489,10.51796,Escola de Enfermagem de Ribeirao Preto
490,10.3119,New England Botanical Club
491,10.25120,James Cook University
492,10.3208,The Japanese Geotechnical Society
493,10.5705,Statistica Sinica (Institute of Statistical Science)
494,10.3114,Westerdijk Fungal Biodiversity Institute
495,10.57187,SMW Supporting Association
496,10.16993,Stockholm University Press
497,10.26442,Consilium Medicum
498,10.36504,Consilium Medicum
499,10.14503,Texas Heart Institute Journal
500,10.4186,"Faculty of Engineering, Chulalongkorn University"
501,10.18332,European Publishing
502,10.1620,Tohoku University Medical Press
503,10.2748,"Mathematical Institute, Tohoku University"
504,10.3959,Tree-Ring Society
505,10.5606,Baycinar Tibbi Yayincilik
506,10.4194,Central Fisheries Research Institute (SUMAE)
507,10.5137,Turkish Neurosurgical Society
508,10.1675,Waterbird Society
509,10.1676,Wilson Ornithological Society
510,10.35713,Baishideng Publishing Group Inc.
511,10.11569,Baishideng Publishing Group Inc.
512,10.12998,Baishideng Publishing Group Inc.
513,10.5306,Baishideng Publishing Group Inc.
514,10.4239,Baishideng Publishing Group Inc.
515,10.13105,Baishideng Publishing Group Inc.
516,10.5501,Baishideng Publishing Group Inc.
517,10.35712,Baishideng Publishing Group Inc.
518,10.5409,Baishideng Publishing Group Inc.
519,10.3748,Baishideng Publishing Group Inc.
520,10.35711,Baishideng Publishing Group Inc.
521,10.5528,Baishideng Publishing Group Inc.
522,10.5527,Baishideng Publishing Group Inc.
523,10.4252,Baishideng Publishing Group Inc.
524,10.5320,Baishideng Publishing Group Inc.
525,10.4253,Baishideng Publishing Group Inc.
526,10.4330,Baishideng Publishing Group Inc.
527,10.4251,Baishideng Publishing Group Inc.
528,10.5500,Baishideng Publishing Group Inc.
529,10.4254,Baishideng Publishing Group Inc.
530,10.4331,Baishideng Publishing Group Inc.
531,10.5662,Baishideng Publishing Group Inc.
532,10.5321,Baishideng Publishing Group Inc.
533,10.4292,Baishideng Publishing Group Inc.
534,10.4291,Baishideng Publishing Group Inc.
535,10.5317,Baishideng Publishing Group Inc.
536,10.5316,Baishideng Publishing Group Inc.
537,10.5315,Baishideng Publishing Group Inc.
538,10.5314,Baishideng Publishing Group Inc.
539,10.37126,Baishideng Publishing Group Inc.
540,10.5319,Baishideng Publishing Group Inc.
541,10.4329,Baishideng Publishing Group Inc.
542,10.5318,Baishideng Publishing Group Inc.
543,10.5496,Baishideng Publishing Group Inc.
544,10.5495,Baishideng Publishing Group Inc.
545,10.5494,Baishideng Publishing Group Inc.
546,10.4240,Baishideng Publishing Group Inc.
547,10.5493,Baishideng Publishing Group Inc.
548,10.5412,Baishideng Publishing Group Inc.
549,10.5313,Baishideng Publishing Group Inc.
550,10.5499,Baishideng Publishing Group Inc.
551,10.5411,Baishideng Publishing Group Inc.
552,10.5312,Baishideng Publishing Group Inc.
553,10.5498,Baishideng Publishing Group Inc.
554,10.5410,Baishideng Publishing Group Inc.
555,10.5497,Baishideng Publishing Group Inc.
556,10.5492,Baishideng Publishing Group Inc.
557,10.25270,"HMP Communications, LLC"
