No,Title,ISSN,E-ISSN,CATEGORY,Publisher,Address,Nation
7780844,ACADEMIC MEDICINE,1040-2446,1938-808X,"Education, Scientific Disciplines ; Health Care Sciences & Services",LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",USA
7780845,ACADEMIC PEDIATRICS,1876-2859,1876-2867,Pediatrics,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7780846,ACADEMIC RADIOLOGY,1076-6332,1878-4046,"Radiology, Nuclear Medicine & Medical Imaging",ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",USA
7780847,ACAROLOGIA,0044-586X,2107-7207,Entomology,ACAROLOGIA-UNIVERSITE PAUL VALERY,"SERVICES PUBLICATIONS, 17 REU ABBE DE L EPEE, MONTPELLIER, FRANCE, 34090",FRANCE
7780848,ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY,0898-9621,1545-5815,Medical Ethics,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",USA
7780849,ACCOUNTS OF CHEMICAL RESEARCH,0001-4842,1520-4898,"Chemistry, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780850,ACCREDITATION AND QUALITY ASSURANCE,0949-1775,1432-0517,"Chemistry, Analytical ; Instruments & Instrumentation",SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",USA
7780851,ACI MATERIALS JOURNAL,0889-325X,1944-737X,"Construction & Building Technology ; Materials Science, Multidisciplinary",AMER CONCRETE INST,"38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331",USA
7780852,ACI STRUCTURAL JOURNAL,0889-3241,1944-7361,"Construction & Building Technology ; Engineering, Civil ; Materials Science, Multidisciplinary",AMER CONCRETE INST,"38800 COUNTRY CLUB DR, FARMINGTON HILLS, USA, MI, 48331",USA
7780853,ACM COMPUTING SURVEYS,0360-0300,1557-7341,"Computer Science, Theory & Methods",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780854,ACM JOURNAL ON COMPUTING AND CULTURAL HERITAGE,1556-4673,1556-4711,"Computer Science, Interdisciplinary Applications",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780855,ACM JOURNAL ON EMERGING TECHNOLOGIES IN COMPUTING SYSTEMS,1550-4832,1550-4840,"Computer Science, Hardware & Architecture ; Engineering, Electrical & Electronic ; Nanoscience & Nanotechnology",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780856,ACM SIGCOMM COMPUTER COMMUNICATION REVIEW,0146-4833,1943-5819,"Computer Science, Information Systems",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780857,ACM TRANSACTIONS ON ALGORITHMS,1549-6325,1549-6333,"Computer Science, Theory & Methods ; Mathematics, Applied",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780858,ACM TRANSACTIONS ON APPLIED PERCEPTION,1544-3558,1544-3965,"Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780859,ACM TRANSACTIONS ON ARCHITECTURE AND CODE OPTIMIZATION,1544-3566,1544-3973,"Computer Science, Hardware & Architecture ; Computer Science, Theory & Methods",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780860,ACM TRANSACTIONS ON ASIAN AND LOW-RESOURCE LANGUAGE INFORMATION PROCESSING,2375-4699,2375-4702,"Computer Science, Artificial Intelligence",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780861,ACM TRANSACTIONS ON AUTONOMOUS AND ADAPTIVE SYSTEMS,1556-4665,1556-4703,"Computer Science, Artificial Intelligence ; Computer Science, Information Systems ; Computer Science, Theory & Methods",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780862,ACM TRANSACTIONS ON COMPUTATIONAL LOGIC,1529-3785,1557-945X,"Computer Science, Theory & Methods ; Logic",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780863,ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,1073-0516,1557-7325,"Computer Science, Cybernetics ; Computer Science, Information Systems",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780864,ACM TRANSACTIONS ON COMPUTER SYSTEMS,0734-2071,1557-7333,"Computer Science, Theory & Methods",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780865,ACM TRANSACTIONS ON COMPUTING EDUCATION,1946-6226,1946-6226,"Education, Scientific Disciplines",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780866,ACM TRANSACTIONS ON DATABASE SYSTEMS,0362-5915,1557-4644,"Computer Science, Information Systems ; Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780867,ACM TRANSACTIONS ON DESIGN AUTOMATION OF ELECTRONIC SYSTEMS,1084-4309,1557-7309,"Computer Science, Hardware & Architecture ; Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780868,ACM TRANSACTIONS ON EMBEDDED COMPUTING SYSTEMS,1539-9087,1558-3465,"Computer Science, Hardware & Architecture ; Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780869,ACM TRANSACTIONS ON GRAPHICS,0730-0301,1557-7368,"Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780870,ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,1558-2868,"Computer Science, Information Systems",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780871,ACM TRANSACTIONS ON INTELLIGENT SYSTEMS AND TECHNOLOGY,2157-6904,2157-6912,"Computer Science, Artificial Intelligence ; Computer Science, Information Systems",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780872,ACM TRANSACTIONS ON INTERACTIVE INTELLIGENT SYSTEMS,2160-6455,2160-6463,"Computer Science, Artificial Intelligence",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780873,ACM TRANSACTIONS ON INTERNET TECHNOLOGY,1533-5399,1557-6051,"Computer Science, Information Systems ; Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780874,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,1556-4681,1556-472X,"Computer Science, Information Systems ; Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780875,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,"Computer Science, Software Engineering ; Mathematics, Applied",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780876,ACM TRANSACTIONS ON MODELING AND COMPUTER SIMULATION,1049-3301,1558-1195,"Computer Science, Interdisciplinary Applications ; Mathematics, Applied",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780877,ACM TRANSACTIONS ON MULTIMEDIA COMPUTING COMMUNICATIONS AND APPLICATIONS,1551-6857,1551-6865,"Computer Science, Information Systems ; Computer Science, Software Engineering ; Computer Science, Theory & Methods",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780878,ACM TRANSACTIONS ON PRIVACY AND SECURITY,2471-2566,2471-2574,"Computer Science, Information Systems",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780879,ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS,0164-0925,1558-4593,"Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780880,ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS,1936-7406,1936-7414,"Computer Science, Hardware & Architecture",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780881,ACM TRANSACTIONS ON SENSOR NETWORKS,1550-4859,1550-4867,"Computer Science, Information Systems ; Telecommunications",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780882,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY,1049-331X,1557-7392,"Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780883,ACM TRANSACTIONS ON STORAGE,1553-3077,1553-3093,"Computer Science, Hardware & Architecture ; Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780884,ACM TRANSACTIONS ON THE WEB,1559-1131,1559-114X,"Computer Science, Information Systems ; Computer Science, Software Engineering",ASSOC COMPUTING MACHINERY,"1601 Broadway, 10th Floor, NEW YORK, Usa, NY, 10019-7434",USA
7780885,ACOUSTICAL PHYSICS,1063-7710,1562-6865,Acoustics,PLEIADES PUBLISHING INC,"PLEIADES HOUSE, 7 W 54 ST, NEW YORK, United States,  NY, 10019",RUSSIA
7780886,ACOUSTICS AUSTRALIA,0814-6039,1839-2571,Acoustics,SPRINGER SINGAPORE PTE LTD,"152 Beach Road, #21-01 Gateway East, SINGAPORE, Singapore, 189721",SINGAPORE
7780887,ACS APPLIED ELECTRONIC MATERIALS,,2637-6113,"Engineering, Electrical & Electronic ; Materials Science, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780888,ACS APPLIED ENERGY MATERIALS,2574-0962,2574-0962,"Chemistry, Physical ; Energy & Fuels ; Materials Science, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780889,ACS APPLIED MATERIALS & INTERFACES,1944-8244,1944-8252,"Nanoscience & Nanotechnology ; Materials Science, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780890,ACS APPLIED NANO MATERIALS,,2574-0970,"Nanoscience & Nanotechnology ; Materials Science, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780891,ACS APPLIED POLYMER MATERIALS,2637-6105,2637-6105,"Materials Science, Multidisciplinary ; Polymer Science",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780892,ACS BIOMATERIALS SCIENCE & ENGINEERING,2373-9878,2373-9878,"Materials Science, Biomaterials",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780893,ACS CATALYSIS,2155-5435,2155-5435,"Chemistry, Physical",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780894,ACS CENTRAL SCIENCE,2374-7943,2374-7951,"Chemistry, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780895,ACS CHEMICAL BIOLOGY,1554-8929,1554-8937,Biochemistry & Molecular Biology,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780896,ACS CHEMICAL NEUROSCIENCE,1948-7193,1948-7193,"Biochemistry & Molecular Biology ; Chemistry, Medicinal ; Neurosciences",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780897,ACS EARTH AND SPACE CHEMISTRY,2472-3452,2472-3452,"Chemistry, Multidisciplinary ; Geochemistry & Geophysics",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780898,ACS ENERGY LETTERS,2380-8195,2380-8195,"Chemistry, Physical ; Electrochemistry ; Energy & Fuels ; Nanoscience & Nanotechnology ; Materials Science, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780899,ACS INFECTIOUS DISEASES,2373-8227,2373-8227,"Chemistry, Medicinal ; Infectious Diseases",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780900,ACS MACRO LETTERS,,2161-1653,Polymer Science,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780901,ACS MATERIALS LETTERS,,2639-4979,"Materials Science, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780902,ACS MEDICINAL CHEMISTRY LETTERS,1948-5875,1948-5875,"Chemistry, Medicinal",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780903,ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X,Sport Sciences,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",USA
7780904,ACS NANO,1936-0851,1936-086X,"Chemistry, Multidisciplinary ; Chemistry, Physical ; Nanoscience & Nanotechnology ; Materials Science, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780905,ACS OMEGA,2470-1343,2470-1343,"Chemistry, Multidisciplinary",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780906,ACS PHOTONICS,2330-4022,2330-4022,"Nanoscience & Nanotechnology ; Materials Science, Multidisciplinary ; Optics ; Physics, Applied ; Physics, Condensed Matter",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780907,ACS SENSORS,2379-3694,2379-3694,"Chemistry, Multidisciplinary ; Chemistry, Analytical ; Nanoscience & Nanotechnology",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780908,ACS SUSTAINABLE CHEMISTRY & ENGINEERING,2168-0485,2168-0485,"Chemistry, Multidisciplinary ; Green & Sustainable Science & Technology ; Engineering, Chemical",AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780909,ACS SYNTHETIC BIOLOGY,2161-5063,2161-5063,Biochemical Research Methods,AMER CHEMICAL SOC,"1155 16TH ST, NW, WASHINGTON, USA, DC, 20036",USA
7780910,ACTA ACUSTICA,,2681-4617,Acoustics,EDP SCIENCES S A,"17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, LES ULIS CEDEX A, FRANCE, F-91944",GERMANY
7780911,ACTA ADRIATICA,0001-5113,1846-0453,Marine & Freshwater Biology ; Oceanography,INST OCEANOGRAFIJU I RIBARSTVO,"SETALISTE I MESTROVICA 63, SPLIT, CROATIA, 21000",CROATIA
7780912,ACTA AGRICULTURAE SCANDINAVICA SECTION A-ANIMAL SCIENCE,0906-4702,1651-1972,"Agriculture, Dairy & Animal Science",TAYLOR & FRANCIS AS,"KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154",NORWAY
7780913,ACTA AGRICULTURAE SCANDINAVICA SECTION B-SOIL AND PLANT SCIENCE,0906-4710,1651-1913,Agronomy ; Soil Science,TAYLOR & FRANCIS AS,"KARL JOHANS GATE 5, OSLO, NORWAY, NO-0154",NORWAY
7780914,ACTA ALIMENTARIA,0139-3006,1588-2535,Food Science & Technology ; Nutrition & Dietetics,AKADEMIAI KIADO ZRT,"BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117",HUNGARY
7780915,ACTA AMAZONICA,0044-5967,1809-4392,Plant Sciences ; Ecology ; Zoology,INST NACIONAL PESQUISAS AMAZONIA,"CAIXA POSTAL 478,  ALAMEDA COSME FERREIRA, 1756, MANAUS, BRAZIL, AMAZONAS, 00000",BRAZIL
7780916,ACTA ANAESTHESIOLOGICA SCANDINAVICA,0001-5172,1399-6576,Anesthesiology,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",USA
7780917,ACTA APPLICANDAE MATHEMATICAE,0167-8019,1572-9036,"Mathematics, Applied",SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",NETHERLANDS
7780918,ACTA ARITHMETICA,0065-1036,1730-6264,Mathematics,POLISH ACAD SCIENCES INST MATHEMATICS-IMPAN,"8 SNIADECKICH ST, WARSZAWA, POLAND, PL 00 656",POLAND
7780919,ACTA ASTRONAUTICA,0094-5765,1879-2030,"Engineering, Aerospace",PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",ENGLAND
7780920,ACTA ASTRONOMICA,0001-5237,0001-5237,Astronomy & Astrophysics,COPERNICUS FOUNDATION POLISH  ASTRONOMY,"AL UJAZDOWSKIE 4, WARSAW, POLAND, 00-478",POLAND
7780921,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,1672-9145,1745-7270,Biochemistry & Molecular Biology ; Biophysics,SCIENCE PRESS,"16 DONGHUANGCHENGGEN NORTH ST, Building 5, Room 411, BEIJING, Peoples R China, 100009",ENGLAND
7780922,ACTA BIOCHIMICA POLONICA,0001-527X,1734-154X,Biochemistry & Molecular Biology,ACTA BIOCHIMICA POLONICA,"PASTEURA 3, WARSAW, POLAND, 02-093",POLAND
7780923,ACTA BIOETHICA,0717-5906,1726-569X,Medical Ethics,"UNIV CHILE, CENTRO INTERDISCIPLINARIO ESTUDIOS BIOETICA","DIAGONAL PARAGUAY #265, TORRE 15, PISO 8, SANTIAGO, CHILE, 00000",CHILE
7780924,ACTA BIOLOGICA COLOMBIANA,0120-548X,1900-1649,Plant Sciences ; Zoology,"UNIV NAC COLOMBIA, FAC CIENCIAS, DEPT BIOL","APARTADO AEREO 14490, BOGOTA, COLOMBIA, 00000",COLOMBIA
7780925,ACTA BIOLOGICA CRACOVIENSIA SERIES BOTANICA,0001-5296,1898-0295,Plant Sciences,"POLSKA AKAD NAUK, POLISH ACAD SCIENCES, PAS BRANCH CRACOW","PL DEFILAD 1, WARSZAWA, POLAND, 00-901",POLAND
7780926,ACTA BIOMATERIALIA,1742-7061,1878-7568,"Engineering, Biomedical ; Materials Science, Biomaterials",ELSEVIER SCI LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OXON, OX5 1GB",ENGLAND
7780927,ACTA BIOQUIMICA CLINICA LATINOAMERICANA,0325-2957,1851-6114,Medical Laboratory Technology,FEDERACION BIOQUIMICA PROVINCIA BUENOS AIRES,"CALLE 6, NO. 1344, LA PLATA, BUENOS AIRES, ARGENTINA, 1900",ARGENTINA
7780928,ACTA BIOTHEORETICA,0001-5342,1572-8358,Mathematical & Computational Biology,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",NETHERLANDS
7780929,ACTA BOTANICA BRASILICA,0102-3306,1677-941X,Plant Sciences,SOC BOTANICA BRASIL,"CAIXA POSTAL 3005, SAO PAULO SP, BRAZIL, 01061-970",BRAZIL
7780930,ACTA BOTANICA CROATICA,0365-0588,1847-8476,Plant Sciences,"UNIV ZAGREB, FAC SCIENCE, DIV BIOLOGY","C/O DAMIR VILICIC, EDITOR-IN-CHIEF, DEPARTMENT OF BOTANY, ROOSEVELTOV TRG 6, ZAGREB, Croatia,  , 10000",CROATIA
7780931,ACTA BOTANICA MEXICANA,,2448-7589,Plant Sciences,INST ECOLOGIA AC,"CENTRO REGIONAL DEL BAJIO, APARTADO POSTAL 386, PATZCUARO, MEXICO, MICHOACAN, 61600",MEXICO
7780932,ACTA CARDIOLOGICA,0001-5385,1784-973X,Cardiac & Cardiovascular System,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7780933,ACTA CARDIOLOGICA SINICA,1011-6842,1011-6842,Cardiac & Cardiovascular System,TAIWAN SOC CARDIOLOGY,"13F-1, NO. 11, MIN-CHUAN WEST ROAD, TAIPEI, TAIWAN, 104",TAIWAN
7780934,ACTA CARSOLOGICA,0583-6050,1580-2612,"Geosciences, Multidisciplinary",KARST RESEARCH INST ZRC SAZU,"TITOV TRG 2, POSTOJNA, SLOVENIA, SI-6230",SLOVENIA
7780935,ACTA CHIMICA SINICA,0567-7351,,"Chemistry, Multidisciplinary",SCIENCE PRESS,"16 DONGHUANGCHENGGEN NORTH ST, BEIJING, PEOPLES R CHINA, 100717",CHINA
7780936,ACTA CHIMICA SLOVENICA,1318-0207,1580-3155,"Chemistry, Multidisciplinary",SLOVENSKO KEMIJSKO DRUSTVO,"HAJDRIHOVA 19, LJUBLJANA, SLOVENIA, 1000",SLOVENIA
7780937,ACTA CHIROPTEROLOGICA,1508-1109,1733-5329,Zoology,MUSEUM & INST ZOOLOGY PAS-POLISH ACAD SCIENCES,"WILCZA STREET 64, WARSAW, POLAND, 00-679",POLAND
7780938,ACTA CHIRURGIAE ORTHOPAEDICAE ET TRAUMATOLOGIAE CECHOSLOVACA,0001-5415,0001-5415,Orthopedics,GALEN SRO,"NA BELIDLE 34, PRAGUE 5, CZECH REPUBLIC, 150 00",CZECH REPUBLIC
7780939,ACTA CHIRURGICA BELGICA,0001-5458,2577-0160,Surgery,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",BELGIUM
7780940,ACTA CHROMATOGRAPHICA,1233-2356,2083-5736,"Chemistry, Analytical",AKADEMIAI KIADO ZRT,"BUDAFOKI UT 187-189-A-3, BUDAPEST, HUNGARY, H-1117",HUNGARY
7780941,ACTA CIRURGICA BRASILEIRA,0102-8650,1678-2674,Surgery,ACTA CIRURGICA BRASILEIRA,"ALAMEDA RIO CLARO, 179-41, SAO PAULO, BRAZIL, SP, 01332-010",BRAZIL
7780942,ACTA CLINICA BELGICA,1784-3286,2295-3337,"Medicine, General & Internal",TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",ENGLAND
7780943,ACTA CLINICA CROATICA,0353-9466,1333-9451,"Medicine, General & Internal",SESTRE MILOSRDNICE UNIV HOSPITAL,"VINOGRADSKA C 29, ZAGREB, CROATIA, HR-10000",CROATIA
7780944,ACTA CRYSTALLOGRAPHICA A-FOUNDATION AND ADVANCES,2053-2733,2053-2733,"Chemistry, Multidisciplinary ; Crystallography",INT UNION CRYSTALLOGRAPHY,"2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU",ENGLAND
7780945,ACTA CRYSTALLOGRAPHICA SECTION B-STRUCTURAL SCIENCE CRYSTAL ENGINEERING AND MATERIALS,,2052-5206,"Chemistry, Multidisciplinary ; Crystallography",INT UNION CRYSTALLOGRAPHY,"2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU",ENGLAND
7780946,ACTA CRYSTALLOGRAPHICA SECTION C-STRUCTURAL CHEMISTRY,2053-2296,2053-2296,"Chemistry, Multidisciplinary ; Crystallography",INT UNION CRYSTALLOGRAPHY,"2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU",ENGLAND
7780947,ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,2059-7983,2059-7983,Biochemical Research Methods ; Biochemistry & Molecular Biology ; Biophysics ; Crystallography,INT UNION CRYSTALLOGRAPHY,"2 ABBEY SQ, CHESTER, ENGLAND, CH1 2HU",ENGLAND
